"","EVENT","Event","GeneID","geneSymbol","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"ARHGEF40_chr14:+:21087000:21087463:21087000:21087105:21087319:21087463:9495","ARHGEF40_chr14:+:21087000:21087463:21087000:21087105:21087319:21087463:9495","RI","ENSG00000165801.10","ARHGEF40",0.145,0.211,0.14,0.143,0.16,0.07,0.125,0.175,0.148,0.163,0.12,0.125,0.211,0.159,2.433412321,"SEED2"
"SLC41A3_chr3:-:126050897:126051050:126056357:126056513:126033606:126033678:126067946:126068246:10686","SLC41A3_chr3:-:126050897:126051050:126056357:126056513:126033606:126033678:126067946:126068246:10686","MXE","ENSG00000114544.17","SLC41A3",0.188,0.25,0.129,0.143,0.156,0.149,0.17,0.236,0.095,0.179,0.143,0.11,0.159,0.167,2.434,"SEED2"
"STAC_chr3:+:36486133:36486249:36504392:36504457:36443363:36443640:36505745:36505834:11874","STAC_chr3:+:36486133:36486249:36504392:36504457:36443363:36443640:36505745:36505834:11874","MXE","ENSG00000144681.11","STAC",0.118,0.178,0.138,0.07,0.098,0.101,0.118,0.089,0.145,0.203,0.109,0.111,0.173,0.136,2.435221676,"SEED2"
"TOP3B_chr22:-:21957026:21958693:21957026:21957595:21958491:21958693:294","TOP3B_chr22:-:21957026:21958693:21957026:21957595:21958491:21958693:294","RI","ENSG00000100038.20","TOP3B",0.213,0.143,0.087,0.119,0.069,0.087,0.126,0.119,0.2,0.262,0.146,0.17,0.185,0.173,2.4370229,"SEED2"
"FADS3_chr11:-:61876358:61876963:61876358:61876455:61876865:61876963:8621","FADS3_chr11:-:61876358:61876963:61876358:61876455:61876865:61876963:8621","RI","ENSG00000221968.9","FADS3",0.291,0.401,0.295,0.226,0.146,0.147,0.176,0.255,0.208,0.267,0.257,0.272,0.285,0.234,2.437281794,"SEED2"
"TMEM268_chr9:+:114626895:114627006:114626898:114627006:114624349:114624459:16547","TMEM268_chr9:+:114626895:114627006:114626898:114627006:114624349:114624459:16547","A3SS","ENSG00000157693.15","TMEM268",0.086,0.096,0.081,0.099,0.082,0.058,0.028,0.062,0.176,0.118,0.054,0.032,0.048,0.073,2.4375,"SEED2"
"SCAT1_chr17:-:78617392:78619044:78617392:78617626:78624191:78624315:12326","SCAT1_chr17:-:78617392:78619044:78617392:78617626:78624191:78624315:12326","A3SS","ENSG00000267123.7","SCAT1",0.153,0.136,0.139,0.15,0.079,0.091,0.172,0.173,0.19,0.176,0.16,0.174,0.117,0.185,2.439473684,"SEED2"
"POM121_chr7:+:72913764:72913828:72926261:72926477:72890932:72891110:72928384:72928465:26789","POM121_chr7:+:72913764:72913828:72926261:72926477:72890932:72891110:72928384:72928465:26789","MXE","ENSG00000196313.13","POM121",0.067,0.084,0.09,0.066,0.098,0.073,0.073,0.079,0.108,0.149,0.035,0.059,0.042,0.099,2.439932886,"SEED2"
"RWDD3_chr1:+:95244210:95244715:95234210:95234315:95246541:95246657:130335","RWDD3_chr1:+:95244210:95244715:95234210:95234315:95246541:95246657:130335","SE","ENSG00000122481.17","RWDD3",0.294,0.298,0.333,0.317,0.306,0.158,0.206,0.295,0.244,0.307,0.263,0.226,0.137,0.25,2.440090092,"SEED2"
"NIN_chr14:-:50756491:50758630:50754741:50754867:50759856:50760359:157763","NIN_chr14:-:50756491:50758630:50754741:50754867:50759856:50760359:157763","SE","ENSG00000100503.26","NIN",0.23,0.191,0.133,0.162,0.15,0.154,0.176,0.189,0.117,0.219,0.13,0.179,0.107,0.187,2.441304348,"SEED2"
"TAFAZZIN_chrX:+:154419542:154419746:154419542:154419623:154420031:154420094:397","TAFAZZIN_chrX:+:154419542:154419746:154419542:154419623:154420031:154420094:397","A5SS","ENSG00000102125.16","TAFAZZIN",0.342,0.384,0.315,0.297,0.235,0.273,0.357,0.388,0.463,0.306,0.348,0.273,0.323,0.288,2.445032398,"SEED2"
"STAG3L2_chr7:-:74885022:74885146:74884433:74884524:74887682:74887799:127350","STAG3L2_chr7:-:74885022:74885146:74884433:74884524:74887682:74887799:127350","SE","ENSG00000277072.5","STAG3L2",0.304,0.298,0.287,0.33,0.272,0.242,0.298,0.323,0.344,0.307,0.288,0.259,0.212,0.248,2.45,"SEED2"
"SNHG16_chr17:+:76557777:76559043:76557777:76557857:76558373:76559043:4018","SNHG16_chr17:+:76557777:76559043:76557777:76557857:76558373:76559043:4018","RI","ENSG00000163597.16","SNHG16",0.686,0.608,0.652,0.628,0.442,0.437,0.573,0.612,0.736,0.612,0.644,0.535,0.635,0.613,2.451358696,"SEED2"
"ANKS6_chr9:-:98780188:98780337:98782466:98782573:98778225:98778424:98783952:98784157:8119","ANKS6_chr9:-:98780188:98780337:98782466:98782573:98778225:98778424:98783952:98784157:8119","MXE","ENSG00000165138.18","ANKS6",0.494,0.512,0.544,0.46,0.36,0.43,0.559,0.642,0.459,0.474,0.527,0.533,0.398,0.518,2.45280374,"SEED2"
"SNHG11_chr20:+:38450261:38450921:38450261:38450447:38450532:38450921:439","SNHG11_chr20:+:38450261:38450921:38450261:38450447:38450532:38450921:439","RI","ENSG00000174365.21","SNHG11",0.288,0.324,0.258,0.322,0.28,0.202,0.258,0.278,0.229,0.336,0.247,0.156,0.262,0.248,2.453571427,"SEED2"
"KLHL17_chr1:+:964106:964180:964348:964530:963919:964008:964962:965719:14391","KLHL17_chr1:+:964106:964180:964348:964530:963919:964008:964962:965719:14391","MXE","ENSG00000187961.15","KLHL17",0.565,0.526,0.41,0.47,0.509,0.462,0.299,0.493,0.57,0.513,0.468,0.364,0.415,0.479,2.455263159,"SEED2"
"NR1H3_chr11:+:47259184:47259259:47248955:47248999:47259790:47259952:150657","NR1H3_chr11:+:47259184:47259259:47248955:47248999:47259790:47259952:150657","SE","ENSG00000025434.19","NR1H3",0.497,0.682,0.569,0.346,0.471,0.446,0.497,0.548,0.666,0.636,0.518,0.57,0.556,0.387,2.455278592,"SEED2"
"PUM2_chr2:-:20326260:20326385:20318536:20318645:20327309:20327378:82484","PUM2_chr2:-:20326260:20326385:20318536:20318645:20327309:20327378:82484","SE","ENSG00000055917.16","PUM2",0.146,0.106,0.076,0.075,0.095,0.089,0.037,0.106,0.112,0.088,0.087,0.117,0.082,0.083,2.455479452,"SEED2"
"ABCC3_chr17:+:50677743:50678219:50677743:50677943:50678092:50678219:1072","ABCC3_chr17:+:50677743:50678219:50677743:50677943:50678092:50678219:1072","RI","ENSG00000108846.16","ABCC3",0.327,0.228,0.243,0.209,0.125,0.161,0.178,0.196,0.255,0.263,0.232,0.281,0.244,0.144,2.456422017,"SEED2"
"HORMAD1_chr1:-:150711544:150711571:150711832:150711853:150708893:150708961:150714084:150714121:20372","HORMAD1_chr1:-:150711544:150711571:150711832:150711853:150708893:150708961:150714084:150714121:20372","MXE","ENSG00000143452.16","HORMAD1",0.159,0.12,0.129,0.136,0.169,0.07,0.121,0.184,0.176,0.156,0.1,0.193,0.053,0.116,2.458808289,"SEED2"
"SNHG17_chr20:-:38422045:38422241:38421005:38421098:38425934:38426052:6417","SNHG17_chr20:-:38422045:38422241:38421005:38421098:38425934:38426052:6417","SE","ENSG00000196756.14","SNHG17",0.286,0.366,0.272,0.266,0.266,0.315,0.295,0.337,0.302,0.376,0.35,0.319,0.192,0.251,2.459042554,"SEED2"
"CCN1_chr1:+:85581364:85582284:85581364:85581578:85581927:85582284:5501","CCN1_chr1:+:85581364:85582284:85581364:85581578:85581927:85582284:5501","RI","ENSG00000142871.18","CCN1",0.211,0.121,0.145,0.117,0.13,0.085,0.133,0.133,0.193,0.242,0.165,0.186,0.158,0.152,2.464876034,"SEED2"
"AP1G2_chr14:-:23563715:23564221:23563715:23563856:23564045:23564221:9542","AP1G2_chr14:-:23563715:23564221:23563715:23563856:23564045:23564221:9542","RI","ENSG00000213983.12","AP1G2",0.394,0.336,0.327,0.295,0.181,0.198,0.238,0.276,0.273,0.329,0.411,0.264,0.294,0.288,2.468248177,"SEED2"
"SORBS2_chr4:-:185638876:185639035:185630548:185630598:185646667:185646782:40362","SORBS2_chr4:-:185638876:185639035:185630548:185630598:185646667:185646782:40362","SE","ENSG00000154556.19","SORBS2",0.103,0.135,0.152,0.121,0.05,0.114,0.106,0.252,0.168,0.175,0.108,0.05,0.139,0.103,2.470634923,"SEED2"
"KATNAL2_chr18:+:47046456:47046527:47058234:47058352:46946853:46946923:47059555:47059654:2578","KATNAL2_chr18:+:47046456:47046527:47058234:47058352:46946853:46946923:47059555:47059654:2578","MXE","ENSG00000167216.19","KATNAL2",0.548,0.523,0.421,0.497,0.209,0.394,0.341,0.383,0.464,0.4,0.478,0.426,0.431,0.35,2.470802919,"SEED2"
"RBM6_chr3:+:50061461:50062108:50061461:50061547:50061961:50062108:3393","RBM6_chr3:+:50061461:50062108:50061461:50061547:50061961:50062108:3393","RI","ENSG00000004534.15","RBM6",0.113,0.122,0.091,0.076,0.085,0.072,0.081,0.13,0.168,0.155,0.12,0.067,0.114,0.156,2.471428571,"SEED2"
"PDCD2L_chr19:+:34404648:34404815:34404398:34404538:34409160:34409510:39300","PDCD2L_chr19:+:34404648:34404815:34404398:34404538:34409160:34409510:39300","SE","ENSG00000126249.8","PDCD2L",0.922,0.702,0.781,0.846,0.577,0.712,0.756,0.796,0.865,0.757,0.664,0.455,0.845,0.759,2.47472885,"SEED2"
"ZFPM1_chr16:+:88514386:88514520:88526813:88526916:88489030:88489153:88528031:88528238:4255","ZFPM1_chr16:+:88514386:88514520:88526813:88526916:88489030:88489153:88528031:88528238:4255","MXE","ENSG00000179588.9","ZFPM1",0.404,0.474,0.506,0.387,0.396,0.477,0.603,0.563,0.581,0.525,0.378,0.257,0.404,0.4,2.475704809,"SEED2"
"ISCU_chr12:+:108564059:108564392:108564059:108564155:108564278:108564392:7000","ISCU_chr12:+:108564059:108564392:108564059:108564155:108564278:108564392:7000","RI","ENSG00000136003.16","ISCU",0.549,0.386,0.435,0.433,0.37,0.348,0.361,0.452,0.533,0.423,0.455,0.305,0.39,0.44,2.476593808,"SEED2"
"SNHG17_chr20:-:38421005:38422241:38421005:38421098:38422091:38422241:444","SNHG17_chr20:-:38421005:38422241:38421005:38421098:38422091:38422241:444","RI","ENSG00000196756.14","SNHG17",0.566,0.566,0.511,0.557,0.343,0.37,0.509,0.57,0.456,0.45,0.449,0.529,0.445,0.543,2.478070175,"SEED2"
"MYO5A_chr15:-:52425829:52425974:52428397:52428569:52416144:52416301:52433174:52433285:5622","MYO5A_chr15:-:52425829:52425974:52428397:52428569:52416144:52416301:52433174:52433285:5622","MXE","ENSG00000197535.16","MYO5A",0.59,0.551,0.459,0.438,0.456,0.428,0.45,0.49,0.523,0.446,0.466,0.581,0.328,0.451,2.480508474,"SEED2"
"RBCK1_chr20:+:420870:421006:419557:419731:422126:422238:49914","RBCK1_chr20:+:420870:421006:419557:419731:422126:422238:49914","SE","ENSG00000125826.21","RBCK1",0.92,0.889,0.755,0.829,0.826,0.683,0.6,0.937,0.935,0.946,0.75,0.727,0.737,0.818,2.481078223,"SEED2"
"SNHG17_chr20:-:38422095:38422241:38421005:38421098:38425934:38426048:6427","SNHG17_chr20:-:38422095:38422241:38421005:38421098:38425934:38426048:6427","SE","ENSG00000196756.14","SNHG17",0.333,0.385,0.322,0.293,0.327,0.338,0.305,0.36,0.338,0.426,0.355,0.366,0.214,0.277,2.481455399,"SEED2"
"PXN_chr12:-:120224642:120224727:120224150:120224377:120226352:120226795:168464","PXN_chr12:-:120224642:120224727:120224150:120224377:120226352:120226795:168464","SE","ENSG00000089159.17","PXN",0.37,0.301,0.263,0.174,0.202,0.198,0.269,0.223,0.315,0.243,0.286,0.167,0.266,0.24,2.482432435,"SEED2"
"SPG7_chr16:+:89540943:89542279:89540943:89541384:89544647:89544772:3041","SPG7_chr16:+:89540943:89542279:89540943:89541384:89544647:89544772:3041","A5SS","ENSG00000197912.16","SPG7",0.794,0.692,0.823,0.681,0.693,0.576,0.438,0.739,0.8,0.702,0.621,0.69,0.571,0.697,2.483171324,"SEED2"
"SLC25A30_chr13:-:45404326:45404412:45408926:45409074:45402274:45402370:45411361:45411480:36047","SLC25A30_chr13:-:45404326:45404412:45408926:45409074:45402274:45402370:45411361:45411480:36047","MXE","ENSG00000174032.17","SLC25A30",0.51,0.369,0.343,0.367,0.352,0.397,0.368,0.355,0.445,0.51,0.353,0.405,0.325,0.229,2.483333333,"SEED2"
"IFT80_chr3:-:160383436:160384646:160383436:160383504:160384405:160384646:4232","IFT80_chr3:-:160383436:160384646:160383436:160383504:160384405:160384646:4232","RI","ENSG00000068885.15","IFT80",0.647,0.647,0.534,0.494,0.429,0.367,0.52,0.77,0.609,0.619,0.564,0.696,0.593,0.754,2.483766234,"SEED2"
"METTL25B_chr1:+:156731990:156732473:156731990:156732115:156732280:156732473:3890","METTL25B_chr1:+:156731990:156732473:156731990:156732115:156732280:156732473:3890","RI","ENSG00000143303.12","METTL25B",0.359,0.311,0.361,0.167,0.182,0.21,0.376,0.244,0.325,0.376,0.23,0.32,0.244,0.235,2.485106384,"SEED2"
"KRBA1_chr7:+:149722421:149722553:149722782:149722956:149721379:149721535:149723733:149723889:27767","KRBA1_chr7:+:149722421:149722553:149722782:149722956:149721379:149721535:149723733:149723889:27767","MXE","ENSG00000133619.18","KRBA1",0.395,0.422,0.436,0.333,0.263,0.347,0.441,0.431,0.436,0.419,0.5,0.235,0.347,0.455,2.486,"SEED2"
"OLMALINC_chr10:+:100380982:100381109:100373512:100374012:100381215:100381448:154709","OLMALINC_chr10:+:100380982:100381109:100373512:100374012:100381215:100381448:154709","SE","ENSG00000235823.4","OLMALINC",0.349,0.308,0.297,0.267,0.178,0.29,0.128,0.265,0.307,0.241,0.176,0.103,0.279,0.182,2.487249283,"SEED2"
"MYO9B_chr19:+:17177796:17177886:17175662:17175741:17180926:17181040:71623","MYO9B_chr19:+:17177796:17177886:17175662:17175741:17180926:17181040:71623","SE","ENSG00000099331.14","MYO9B",0.103,0.121,0.1,0.035,0.056,0.075,0.137,0.06,0.128,0.129,0.073,0.034,0.078,0.098,2.487956206,"SEED2"
"ASCC2_chr22:-:29834441:29834550:29834488:29834550:29832244:29832342:277","ASCC2_chr22:-:29834441:29834550:29834488:29834550:29832244:29832342:277","A5SS","ENSG00000100325.15","ASCC2",0.165,0.136,0.147,0.137,0.175,0.146,0.16,0.199,0.142,0.21,0.158,0.094,0.144,0.154,2.488095239,"SEED2"
"EPB41_chr1:+:29058588:29058645:29060421:29060484:29053103:29053312:29064981:29065158:16667","EPB41_chr1:+:29058588:29058645:29060421:29060484:29053103:29053312:29064981:29065158:16667","MXE","ENSG00000159023.22","EPB41",0.227,0.317,0.278,0.193,0.17,0.275,0.263,0.278,0.181,0.252,0.209,0.18,0.179,0.128,2.490694008,"SEED2"
"MARCHF7_chr2:+:159714556:159714598:159712522:159712661:159729008:159729175:84945","MARCHF7_chr2:+:159714556:159714598:159712522:159712661:159729008:159729175:84945","SE","ENSG00000136536.15","MARCHF7",0.176,0.234,0.164,0.185,0.146,0.149,0.123,0.187,0.242,0.282,0.186,0.284,0.119,0.179,2.492253521,"SEED2"
"ANKZF1_chr2:+:219234132:219235312:219234132:219234288:219234825:219235312:5834","ANKZF1_chr2:+:219234132:219235312:219234132:219234288:219234825:219235312:5834","RI","ENSG00000163516.14","ANKZF1",0.25,0.281,0.217,0.209,0.131,0.213,0.277,0.263,0.288,0.211,0.268,0.208,0.284,0.211,2.495138888,"SEED2"
"DPH7_chr9:-:137576308:137576402:137575708:137576167:137577469:137577603:147531","DPH7_chr9:-:137576308:137576402:137575708:137576167:137577469:137577603:147531","SE","ENSG00000148399.13","DPH7",0.504,0.325,0.232,0.255,0.315,0.373,0.366,0.339,0.491,0.522,0.451,0.349,0.308,0.351,2.497126436,"SEED2"
"CEP83_chr12:-:94411696:94411847:94435274:94435327:94403169:94403262:94459556:94459867:35348","CEP83_chr12:-:94411696:94411847:94435274:94435327:94403169:94403262:94459556:94459867:35348","MXE","ENSG00000173588.16","CEP83",0.194,0.167,0.152,0.083,0.115,0.139,0.147,0.172,0.144,0.185,0.157,0.098,0.15,0.221,2.497511311,"SEED2"
"TTC31_chr2:+:74491943:74492055:74492003:74492055:74491480:74491666:10394","TTC31_chr2:+:74491943:74492055:74492003:74492055:74491480:74491666:10394","A3SS","ENSG00000115282.21","TTC31",0.115,0.055,0.098,0.084,0.094,0.052,0.107,0.12,0.145,0.165,0.103,0.091,0.094,0.155,2.498484848,"SEED2"
"KCNAB2_chr1:+:6018634:6018835:5992665:5992788:6040516:6040645:85005","KCNAB2_chr1:+:6018634:6018835:5992665:5992788:6040516:6040645:85005","SE","ENSG00000069424.16","KCNAB2",0.32,0.224,0.257,0.138,0.075,0.169,0.073,0.346,0.193,0.2,0.095,0.097,0.198,0.149,2.499132948,"SEED2"
"KIF22_chr16:+:29803997:29805026:29803997:29804065:29804813:29805026:1557","KIF22_chr16:+:29803997:29805026:29803997:29804065:29804813:29805026:1557","RI","ENSG00000079616.14","KIF22",0.18,0.193,0.22,0.19,0.118,0.123,0.164,0.212,0.178,0.167,0.155,0.132,0.173,0.188,2.499999999,"SEED2"
"EDC3_chr15:-:74676940:74677022:74674960:74675142:74687090:74687179:41757","EDC3_chr15:-:74676940:74677022:74674960:74675142:74687090:74687179:41757","SE","ENSG00000179151.13","EDC3",0.166,0.201,0.227,0.381,0.225,0.187,0.134,0.152,0.304,0.285,0.276,0.234,0.156,0.205,1.679186353,"SEED3"
"JPX_chrX:+:73962730:73962801:73994839:73994961:73944583:73944662:73998767:73998844:19092","JPX_chrX:+:73962730:73962801:73994839:73994961:73944583:73944662:73998767:73998844:19092","MXE","ENSG00000225470.8","JPX",0.026,0.077,0.135,0.143,0.066,0.057,0.079,0.055,0.065,0.113,0.083,0.084,0.066,0.037,1.905664337,"SEED3"
"SPATA20_chr17:+:50550997:50551222:50550997:50551190:50551510:50551679:1214","SPATA20_chr17:+:50550997:50551222:50550997:50551190:50551510:50551679:1214","A5SS","ENSG00000006282.21","SPATA20",0.03,0.049,0.054,0.155,0.064,0.041,0.031,0.024,0.033,0.087,0.053,0.048,0.04,0.075,1.952580645,"SEED3"
"C10orf95-AS1_chr10:+:102452089:102452187:102450186:102450330:102455336:102456267:110803","C10orf95-AS1_chr10:+:102452089:102452187:102450186:102450330:102455336:102456267:110803","SE","ENSG00000269609.6","C10orf95-AS1",0.182,0.149,0.312,0.351,0.197,0.164,0.093,0.124,0.366,0.172,0.287,0.147,0.159,0.185,1.954480872,"SEED3"
"GORASP1_chr3:-:39100304:39100877:39100304:39100503:39100746:39100877:3526","GORASP1_chr3:-:39100304:39100877:39100304:39100503:39100746:39100877:3526","RI","ENSG00000114745.15","GORASP1",0.07,0.081,0.112,0.128,0.077,0.093,0.072,0.09,0.11,0.184,0.125,0.055,0.113,0.101,1.978043477,"SEED3"
"ERI3_chr1:-:44241914:44242080:44221503:44221640:44284834:44284907:107763","ERI3_chr1:-:44241914:44242080:44221503:44221640:44284834:44284907:107763","SE","ENSG00000117419.16","ERI3",0.241,0.16,0.208,0.357,0.2,0.193,0.12,0.159,0.167,0.296,0.26,0.182,0.19,0.196,1.978571429,"SEED3"
"EZH2_chr7:-:148815505:148815954:148815505:148815546:148816683:148816778:12963","EZH2_chr7:-:148815505:148815954:148815505:148815546:148816683:148816778:12963","A3SS","ENSG00000106462.12","EZH2",0.113,0.153,0.181,0.196,0.076,0.071,0.057,0.078,0.116,0.123,0.086,0.082,0.072,0.121,2.005306122,"SEED3"
"C1orf216_chr1:-:35716500:35716675:35716197:35716326:35718706:35718894:109365","C1orf216_chr1:-:35716500:35716675:35716197:35716326:35718706:35718894:109365","SE","ENSG00000142686.8","C1orf216",0.198,0.172,0.203,0.293,0.176,0.14,0.092,0.175,0.177,0.156,0.21,0.196,0.124,0.172,2.059897613,"SEED3"
"NKD2_chr5:+:1032151:1032212:1033371:1033499:1009480:1009560:1034234:1034330:8663","NKD2_chr5:+:1032151:1032212:1033371:1033499:1009480:1009560:1034234:1034330:8663","MXE","ENSG00000145506.14","NKD2",0.16,0.217,0.273,0.285,0.226,0.258,0.279,0.23,0.214,0.3,0.313,0.232,0.175,0.188,2.083482429,"SEED3"
"MTHFSD_chr16:-:86552032:86552146:86554644:86554748:86548463:86548577:86555168:86555235:31553","MTHFSD_chr16:-:86552032:86552146:86554644:86554748:86548463:86548577:86555168:86555235:31553","MXE","ENSG00000103248.19","MTHFSD",0.255,0.319,0.39,0.523,0.316,0.327,0.371,0.319,0.324,0.417,0.438,0.361,0.345,0.404,2.100248566,"SEED3"
"APTX_chr9:-:32987543:32987846:32988082:32988124:32985970:32986030:32989758:32989895:29848","APTX_chr9:-:32987543:32987846:32988082:32988124:32985970:32986030:32989758:32989895:29848","MXE","ENSG00000137074.20","APTX",0.117,0.155,0.17,0.174,0.151,0.127,0.126,0.152,0.104,0.211,0.166,0.167,0.15,0.156,2.101469192,"SEED3"
"GAPVD1_chr9:+:125263550:125263700:125261830:125261959:125268935:125269054:145779","GAPVD1_chr9:+:125263550:125263700:125261830:125261959:125268935:125269054:145779","SE","ENSG00000165219.23","GAPVD1",0.133,0.231,0.238,0.286,0.222,0.265,0.192,0.19,0.221,0.216,0.314,0.196,0.167,0.243,2.111146497,"SEED3"
"LRIG1_chr3:-:66417128:66417266:66451558:66451633:66414919:66415063:66462437:66462509:11220","LRIG1_chr3:-:66417128:66417266:66451558:66451633:66414919:66415063:66462437:66462509:11220","MXE","ENSG00000144749.14","LRIG1",0.345,0.445,0.503,0.523,0.386,0.398,0.423,0.454,0.46,0.426,0.575,0.519,0.382,0.499,2.115217391,"SEED3"
"APTX_chr9:-:32987543:32987731:32988082:32988124:32985970:32986030:32989758:32989895:29846","APTX_chr9:-:32987543:32987731:32988082:32988124:32985970:32986030:32989758:32989895:29846","MXE","ENSG00000137074.20","APTX",0.108,0.144,0.164,0.166,0.148,0.118,0.119,0.138,0.096,0.197,0.158,0.16,0.143,0.148,2.119644671,"SEED3"
"JPX_chrX:+:73962734:73962801:73994839:73994961:73946998:73947374:73998767:73998844:19101","JPX_chrX:+:73962734:73962801:73994839:73994961:73946998:73947374:73998767:73998844:19101","MXE","ENSG00000225470.8","JPX",0.03,0,0.093,0.14,0.018,0.068,0.028,0.013,0.017,0.084,0.05,0.046,0.036,0.045,2.141428571,"SEED3"
"CPNE2_chr16:+:57110707:57110922:57113287:57113467:57092582:57092790:57115475:57115550:4590","CPNE2_chr16:+:57110707:57110922:57113287:57113467:57092582:57092790:57115475:57115550:4590","MXE","ENSG00000140848.17","CPNE2",0.097,0.138,0.149,0.172,0.14,0.115,0.105,0.135,0.167,0.156,0.224,0.138,0.159,0.222,2.145535713,"SEED3"
"PKD1_chr16:-:2105321:2106024:2105321:2105474:2105864:2106024:1666","PKD1_chr16:-:2105321:2106024:2105321:2105474:2105864:2106024:1666","RI","ENSG00000008710.20","PKD1",0.166,0.223,0.28,0.306,0.224,0.291,0.247,0.202,0.262,0.26,0.328,0.213,0.233,0.231,2.145853659,"SEED3"
"TNFAIP8_chr5:+:119356022:119356121:119268753:119268907:119392815:119394598:36330","TNFAIP8_chr5:+:119356022:119356121:119268753:119268907:119392815:119394598:36330","SE","ENSG00000145779.8","TNFAIP8",0.096,0.139,0.161,0.159,0.123,0.111,0.089,0.082,0.162,0.155,0.213,0.102,0.146,0.091,2.14887324,"SEED3"
"ORC4_chr2:-:147948050:147948224:147952372:147952524:147943435:147943522:147955346:147955395:14342","ORC4_chr2:-:147948050:147948224:147952372:147952524:147943435:147943522:147955346:147955395:14342","MXE","ENSG00000115947.14","ORC4",0.377,0.468,0.498,0.508,0.477,0.456,0.359,0.424,0.503,0.5,0.461,0.495,0.394,0.527,2.149734345,"SEED3"
"SHC1_chr1:-:154969377:154969448:154970031:154970199:154968770:154968834:154974247:154974336:13772","SHC1_chr1:-:154969377:154969448:154970031:154970199:154968770:154968834:154974247:154974336:13772","MXE","ENSG00000160691.19","SHC1",0.128,0.143,0.168,0.21,0.145,0.167,0.139,0.104,0.169,0.172,0.204,0.163,0.177,0.166,2.155714286,"SEED3"
"NRG4_chr15:-:76012301:76012422:76012318:76012422:76011220:76011286:3615","NRG4_chr15:-:76012301:76012422:76012318:76012422:76011220:76011286:3615","A5SS","ENSG00000169752.17","NRG4",0.296,0.206,0.326,0.271,0.351,0.162,0.204,0.127,0.279,0.289,0.399,0.247,0.169,0.233,2.163483708,"SEED3"
"SEC31A_chr4:-:82830936:82830975:82828999:82829058:82842184:82842481:43995","SEC31A_chr4:-:82830936:82830975:82828999:82829058:82842184:82842481:43995","SE","ENSG00000138674.17","SEC31A",0.134,0.142,0.155,0.234,0.149,0.154,0.135,0.145,0.089,0.223,0.215,0.193,0.129,0.121,2.164700853,"SEED3"
"ALDOC_chr17:-:28575964:28576020:28575420:28575544:28576800:28576948:18825","ALDOC_chr17:-:28575964:28576020:28575420:28575544:28576800:28576948:18825","SE","ENSG00000109107.14","ALDOC",0.124,0.232,0.24,0.261,0.13,0.174,0.188,0.197,0.185,0.307,0.188,0.157,0.169,0.202,2.177166124,"SEED3"
"RIC8B_chr12:+:106814695:106815304:106825725:106825820:106783996:106784044:106842588:106842817:23288","RIC8B_chr12:+:106814695:106815304:106825725:106825820:106783996:106784044:106842588:106842817:23288","MXE","ENSG00000111785.21","RIC8B",0.273,0.367,0.353,0.452,0.322,0.254,0.257,0.339,0.379,0.379,0.374,0.303,0.334,0.354,2.180619467,"SEED3"
"MPP3_chr17:-:43831881:43831943:43832760:43832819:43831558:43831677:43833100:43833144:5198","MPP3_chr17:-:43831881:43831943:43832760:43832819:43831558:43831677:43833100:43833144:5198","MXE","ENSG00000161647.19","MPP3",0.113,0.123,0.147,0.19,0.125,0.091,0.068,0.107,0.127,0.193,0.286,0.219,0.233,0.102,2.184265734,"SEED3"
"JPX_chrX:+:73962730:73962801:73994863:73994961:73944583:73944662:73998767:73998844:19093","JPX_chrX:+:73962730:73962801:73994863:73994961:73944583:73944662:73998767:73998844:19093","MXE","ENSG00000225470.8","JPX",0.059,0.148,0.252,0.269,0.132,0.11,0.188,0.1,0.138,0.22,0.148,0.225,0.128,0.069,2.186505576,"SEED3"
"VPS54_chr2:-:63981645:63981887:63981645:63981851:63983863:63984019:12206","VPS54_chr2:-:63981645:63981887:63981645:63981851:63983863:63984019:12206","A3SS","ENSG00000143952.20","VPS54",0.386,0.405,0.516,0.499,0.328,0.294,0.34,0.4,0.485,0.508,0.431,0.358,0.407,0.396,2.191782946,"SEED3"
"LUZP2_chr11:+:24729172:24729286:24732117:24732188:24497210:24497305:24738220:24738302:32900","LUZP2_chr11:+:24729172:24729286:24732117:24732188:24497210:24497305:24738220:24738302:32900","MXE","ENSG00000187398.12","LUZP2",0.162,0.097,0.2,0.128,0.119,0.077,0.1,0.092,0.065,0.177,0.154,0.112,0.123,0.105,2.195,"SEED3"
"DMPK_chr19:-:45777326:45777590:45777666:45777723:45774948:45775034:45778126:45778220:1828","DMPK_chr19:-:45777326:45777590:45777666:45777723:45774948:45775034:45778126:45778220:1828","MXE","ENSG00000104936.20","DMPK",0.093,0.103,0.134,0.202,0.101,0.066,0.028,0.065,0.117,0.077,0.165,0.101,0.092,0.126,2.195544556,"SEED3"
"ARHGEF40_chr14:+:21073044:21073242:21073931:21075180:21070272:21070399:21075331:21075553:36372","ARHGEF40_chr14:+:21073044:21073242:21073931:21075180:21070272:21070399:21075331:21075553:36372","MXE","ENSG00000165801.10","ARHGEF40",0.102,0.15,0.166,0.128,0.121,0.074,0.077,0.095,0.111,0.129,0.2,0.088,0.104,0.069,2.2,"SEED3"
